,exp,video,segment,frame,n_masks,mask_area,mask_centroid,mask_conf,mask_strength,bbox_id,bbox_area,bbox_centroid,bbox_dim
0,04_07_2024,2024-07-04_11_51_08_772,2.0,100.0,1.0,[48],"[[277.0, 155.0]]",[0.38094273],[199.52],[0],[56.0],"[[277.0, 155.0]]","[[8.0, 7.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,2.0,101.0,[],[],[],[],[],[],[],[],[]
0,04_07_2024,2024-07-04_11_51_08_772,2.0,102.0,[],[],[],[],[],[],[],[],[]
0,04_07_2024,2024-07-04_11_51_08_772,2.0,103.0,2,"[118, 198]","[[282.0, 164.0], [281.0, 162.0]]","[0.58505154, 0.40290353]","[198.36, 198.99]","[0, 0]","[126.0, 240.0]","[[282.0, 164.0], [281.0, 162.0]]","[[9.0, 14.0], [12.0, 20.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,2.0,104.0,2,"[118, 198]","[[282.0, 164.0], [281.0, 162.0]]","[0.5849741, 0.40308228]","[198.36, 198.99]","[0, 0]","[126.0, 240.0]","[[282.0, 164.0], [281.0, 162.0]]","[[9.0, 14.0], [12.0, 20.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,2.0,105.0,2,"[130, 208]","[[281.0, 164.0], [280.0, 161.0]]","[0.5417702, 0.39804193]","[200.38, 200.33]","[0, 0]","[150.0, 260.0]","[[282.0, 164.0], [280.0, 161.0]]","[[10.0, 15.0], [13.0, 20.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,2.0,106.0,2,"[130, 208]","[[281.0, 164.0], [280.0, 161.0]]","[0.54170984, 0.39807338]","[200.38, 200.33]","[0, 0]","[150.0, 260.0]","[[282.0, 164.0], [280.0, 161.0]]","[[10.0, 15.0], [13.0, 20.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,2.0,107.0,2,"[73, 175]","[[281.0, 164.0], [279.0, 160.0]]","[0.53110915, 0.3922359]","[192.42, 195.35]","[0, 0]","[88.0, 240.0]","[[281.0, 164.0], [279.0, 160.0]]","[[8.0, 11.0], [12.0, 20.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,2.0,108.0,2,"[73, 175]","[[281.0, 164.0], [279.0, 160.0]]","[0.53074634, 0.39176974]","[192.42, 195.35]","[0, 0]","[88.0, 240.0]","[[281.0, 164.0], [279.0, 160.0]]","[[8.0, 11.0], [12.0, 20.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,2.0,109.0,2,"[116, 144]","[[280.0, 162.0], [279.0, 160.0]]","[0.4818259, 0.46756136]","[194.69, 198.41]","[0, 0]","[135.0, 216.0]","[[281.0, 162.0], [279.0, 160.0]]","[[9.0, 15.0], [12.0, 18.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,2.0,110.0,2,"[106, 144]","[[281.0, 162.0], [279.0, 160.0]]","[0.48141006, 0.46544158]","[194.12, 198.41]","[0, 0]","[135.0, 216.0]","[[281.0, 162.0], [279.0, 160.0]]","[[9.0, 15.0], [12.0, 18.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,2.0,111.0,2,"[141, 204]","[[281.0, 164.0], [280.0, 163.0]]","[0.5855617, 0.3773129]","[193.01, 192.69]","[0, 0]","[150.0, 228.0]","[[282.0, 163.0], [281.0, 162.0]]","[[10.0, 15.0], [12.0, 19.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,2.0,112.0,2,"[141, 204]","[[281.0, 164.0], [280.0, 163.0]]","[0.5855535, 0.37706783]","[193.01, 192.69]","[0, 0]","[150.0, 228.0]","[[282.0, 163.0], [281.0, 162.0]]","[[10.0, 15.0], [12.0, 19.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,2.0,113.0,1,[214],"[[279.0, 159.0]]",[0.6852457],[202.88],[0],[322.0],"[[279.0, 159.0]]","[[14.0, 23.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,2.0,114.0,1,[213],"[[279.0, 159.0]]",[0.6840311],[202.94],[0],[308.0],"[[279.0, 159.0]]","[[14.0, 22.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,2.0,115.0,1,[173],"[[277.0, 158.0]]",[0.63297474],[200.05],[0],[294.0],"[[278.0, 158.0]]","[[14.0, 21.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,2.0,116.0,1,[173],"[[277.0, 158.0]]",[0.6333909],[200.05],[0],[294.0],"[[278.0, 158.0]]","[[14.0, 21.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,2.0,117.0,1,[398],"[[277.0, 155.0]]",[0.63372827],[207.58],[0],[532.0],"[[278.0, 155.0]]","[[19.0, 28.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,2.0,118.0,1,[398],"[[277.0, 155.0]]",[0.63340497],[207.58],[0],[532.0],"[[278.0, 155.0]]","[[19.0, 28.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,2.0,119.0,2,"[121, 184]","[[280.0, 161.0], [279.0, 158.0]]","[0.5636733, 0.54794306]","[194.33, 199.09]","[0, 0]","[154.0, 294.0]","[[280.0, 162.0], [279.0, 158.0]]","[[11.0, 14.0], [14.0, 21.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,2.0,120.0,2,"[121, 184]","[[280.0, 161.0], [279.0, 158.0]]","[0.5637791, 0.5481127]","[194.33, 199.09]","[0, 0]","[154.0, 294.0]","[[280.0, 162.0], [279.0, 158.0]]","[[11.0, 14.0], [14.0, 21.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,2.0,121.0,2,"[197, 282]","[[276.0, 154.0], [276.0, 154.0]]","[0.52669567, 0.34044704]","[211.23, 206.43]","[0, 0]","[216.0, 360.0]","[[277.0, 154.0], [277.0, 155.0]]","[[12.0, 18.0], [15.0, 24.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,2.0,122.0,2,"[201, 314]","[[276.0, 154.0], [276.0, 153.0]]","[0.54284257, 0.33115634]","[210.02, 204.39]","[0, 0]","[228.0, 400.0]","[[276.0, 154.0], [276.0, 154.0]]","[[12.0, 19.0], [16.0, 25.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,2.0,123.0,1,[102],"[[274.0, 152.0]]",[0.67380875],[207.43],[0],[112.0],"[[275.0, 152.0]]","[[8.0, 14.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,2.0,124.0,1,[100],"[[274.0, 151.0]]",[0.68280995],[207.73],[0],[112.0],"[[275.0, 152.0]]","[[8.0, 14.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,2.0,125.0,1,[81],"[[276.0, 154.0]]",[0.60349506],[205.64],[0],[96.0],"[[276.0, 154.0]]","[[8.0, 12.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,2.0,126.0,1,[81],"[[276.0, 154.0]]",[0.60377735],[205.64],[0],[96.0],"[[276.0, 154.0]]","[[8.0, 12.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,2.0,127.0,1,[118],"[[278.0, 154.0]]",[0.44234988],[202.46],[0],[144.0],"[[278.0, 154.0]]","[[9.0, 16.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,2.0,128.0,1,[120],"[[278.0, 154.0]]",[0.44421926],[201.96],[0],[144.0],"[[278.0, 154.0]]","[[9.0, 16.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,2.0,129.0,1,[121],"[[277.0, 156.0]]",[0.7197098],[208.31],[0],[132.0],"[[277.0, 156.0]]","[[11.0, 12.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,2.0,130.0,1,[121],"[[277.0, 156.0]]",[0.7181319],[208.31],[0],[132.0],"[[277.0, 156.0]]","[[11.0, 12.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,2.0,131.0,1,[201],"[[278.0, 155.0]]",[0.6529145],[220.62],[0],[240.0],"[[278.0, 155.0]]","[[15.0, 16.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,2.0,132.0,1,[215],"[[277.0, 155.0]]",[0.6534926],[220.23],[0],[240.0],"[[278.0, 156.0]]","[[15.0, 16.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,2.0,133.0,1,[67],"[[278.0, 155.0]]",[0.6118251],[209.36],[0],[88.0],"[[278.0, 156.0]]","[[8.0, 11.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,2.0,134.0,1,[67],"[[278.0, 155.0]]",[0.6118398],[209.36],[0],[88.0],"[[278.0, 156.0]]","[[8.0, 11.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,2.0,135.0,1,[156],"[[276.0, 154.0]]",[0.5421764],[209.5],[0],[187.0],"[[276.0, 154.0]]","[[11.0, 17.0]]"
