,exp,video,segment,frame,n_masks,mask_area,mask_centroid,mask_conf,mask_strength,bbox_id,bbox_area,bbox_centroid,bbox_dim
0,04_07_2024,2024-07-04_11_51_08_772,4.0,64.0,[],[],[],[],[],[],[],[],[]
0,04_07_2024,2024-07-04_11_51_08_772,4.0,65.0,[],[],[],[],[],[],[],[],[]
0,04_07_2024,2024-07-04_11_51_08_772,4.0,66.0,1,[1517],"[[278.0, 315.0]]",[0.88004136],[228.16],[0],[2590.0],"[[278.0, 316.0]]","[[37.0, 70.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,4.0,67.0,1,[1517],"[[278.0, 315.0]]",[0.87998605],[228.16],[0],[2590.0],"[[278.0, 316.0]]","[[37.0, 70.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,4.0,68.0,3,"[4674, 110, 93]","[[256.0, 250.0], [119.0, 239.0], [263.0, 365.0]]","[0.79294676, 0.4245101, 0.30559337]","[207.82, 189.19, 185.76]","[0, 0, 0]","[10507.0, 150.0, 120.0]","[[251.0, 245.0], [119.0, 240.0], [263.0, 365.0]]","[[79.0, 133.0], [10.0, 15.0], [10.0, 12.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,4.0,69.0,8,"[126, 275, 389, 302, 479, 152, 190, 85]","[[119.0, 240.0], [234.0, 264.0], [261.0, 292.0], [269.0, 219.0], [215.0, 177.0], [245.0, 241.0], [205.0, 207.0], [227.0, 224.0]]","[0.68477327, 0.67322886, 0.58634216, 0.54060405, 0.5227178, 0.4712967, 0.44964725, 0.33732855]","[197.2, 216.89, 225.49, 208.07, 203.95, 215.71, 209.22, 211.35]","[0, 0, 0, 0, 0, 0, 0, 0]","[176.0, 437.0, 468.0, 403.0, 1520.0, 221.0, 352.0, 110.0]","[[119.0, 240.0], [234.0, 265.0], [262.0, 292.0], [269.0, 219.0], [217.0, 179.0], [245.0, 242.0], [205.0, 209.0], [228.0, 225.0]]","[[11.0, 16.0], [19.0, 23.0], [26.0, 18.0], [13.0, 31.0], [40.0, 38.0], [13.0, 17.0], [22.0, 16.0], [11.0, 10.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,4.0,70.0,8,"[126, 274, 389, 302, 482, 152, 174, 85]","[[119.0, 240.0], [234.0, 264.0], [261.0, 292.0], [269.0, 219.0], [215.0, 177.0], [245.0, 241.0], [205.0, 208.0], [227.0, 224.0]]","[0.6854252, 0.6731174, 0.58603203, 0.5397112, 0.5379462, 0.47121558, 0.41499674, 0.33910564]","[197.2, 216.9, 225.49, 208.07, 203.9, 215.71, 210.93, 211.35]","[0, 0, 0, 0, 0, 0, 0, 0]","[176.0, 437.0, 468.0, 403.0, 1520.0, 221.0, 330.0, 110.0]","[[119.0, 240.0], [234.0, 265.0], [262.0, 292.0], [269.0, 219.0], [217.0, 179.0], [245.0, 242.0], [205.0, 209.0], [228.0, 225.0]]","[[11.0, 16.0], [19.0, 23.0], [26.0, 18.0], [13.0, 31.0], [40.0, 38.0], [13.0, 17.0], [22.0, 15.0], [11.0, 10.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,4.0,71.0,8,"[126, 274, 388, 302, 479, 152, 190, 85]","[[119.0, 240.0], [234.0, 264.0], [261.0, 292.0], [269.0, 219.0], [215.0, 177.0], [245.0, 241.0], [205.0, 207.0], [227.0, 224.0]]","[0.6861245, 0.67372686, 0.5875085, 0.54007465, 0.5218407, 0.47140655, 0.44970915, 0.33731815]","[197.2, 216.9, 225.5, 208.07, 203.95, 215.71, 209.22, 211.35]","[0, 0, 0, 0, 0, 0, 0, 0]","[176.0, 437.0, 468.0, 403.0, 1520.0, 221.0, 352.0, 110.0]","[[119.0, 240.0], [234.0, 265.0], [262.0, 292.0], [269.0, 219.0], [217.0, 179.0], [245.0, 242.0], [205.0, 209.0], [228.0, 225.0]]","[[11.0, 16.0], [19.0, 23.0], [26.0, 18.0], [13.0, 31.0], [40.0, 38.0], [13.0, 17.0], [22.0, 16.0], [11.0, 10.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,4.0,72.0,7,"[172, 185, 407, 133, 108, 105, 110]","[[178.0, 145.0], [254.0, 175.0], [299.0, 135.0], [237.0, 281.0], [172.0, 195.0], [209.0, 241.0], [202.0, 167.0]]","[0.75301486, 0.7442246, 0.69735175, 0.6602737, 0.6042696, 0.5066531, 0.4416414]","[203.9, 210.45, 221.13, 207.53, 205.17, 210.99, 202.11]","[0, 0, 0, 0, 0, 0, 0]","[204.0, 264.0, 462.0, 130.0, 144.0, 132.0, 117.0]","[[178.0, 145.0], [255.0, 176.0], [299.0, 136.0], [237.0, 281.0], [173.0, 195.0], [208.0, 242.0], [202.0, 167.0]]","[[17.0, 12.0], [12.0, 22.0], [14.0, 33.0], [13.0, 10.0], [16.0, 9.0], [12.0, 11.0], [13.0, 9.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,4.0,73.0,7,"[172, 185, 406, 133, 108, 105, 110]","[[178.0, 145.0], [254.0, 175.0], [299.0, 135.0], [237.0, 281.0], [172.0, 195.0], [209.0, 241.0], [202.0, 167.0]]","[0.7525562, 0.74488777, 0.68551975, 0.6544119, 0.60340136, 0.5047322, 0.44159326]","[203.9, 210.6, 221.13, 207.53, 205.17, 210.99, 202.11]","[0, 0, 0, 0, 0, 0, 0]","[204.0, 264.0, 462.0, 130.0, 144.0, 132.0, 117.0]","[[178.0, 145.0], [255.0, 176.0], [299.0, 136.0], [237.0, 281.0], [173.0, 195.0], [208.0, 242.0], [202.0, 167.0]]","[[17.0, 12.0], [12.0, 22.0], [14.0, 33.0], [13.0, 10.0], [16.0, 9.0], [12.0, 11.0], [13.0, 9.0]]"
