,exp,video,segment,frame,n_masks,mask_area,mask_centroid,mask_conf,mask_strength,bbox_id,bbox_area,bbox_centroid,bbox_dim
0,22_08_2024,2024-08-22_15_45_00_000,2.0,1.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_15_45_00_000,2.0,2.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_15_45_00_000,2.0,3.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_15_45_00_000,2.0,4.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_15_45_00_000,2.0,5.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_15_45_00_000,2.0,6.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_15_45_00_000,2.0,7.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_15_45_00_000,2.0,8.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_15_45_00_000,2.0,9.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_15_45_00_000,2.0,10.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_15_45_00_000,2.0,11.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_15_45_00_000,2.0,12.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_15_45_00_000,2.0,13.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_15_45_00_000,2.0,14.0,1,[596],"[[287.0, 418.0]]",[0.6675485],[188.89],[0],[900.0],"[[288.0, 421.0]]","[[18.0, 50.0]]"
0,22_08_2024,2024-08-22_15_45_00_000,2.0,15.0,1,[596],"[[287.0, 418.0]]",[0.663811],[188.89],[0],[900.0],"[[288.0, 421.0]]","[[18.0, 50.0]]"
0,22_08_2024,2024-08-22_15_45_00_000,2.0,16.0,3,"[390, 266, 416]","[[271.0, 438.0], [365.0, 461.0], [288.0, 468.0]]","[0.7985766, 0.66299796, 0.4974036]","[189.84, 179.93, 175.39]","[0, 0, 0]","[620.0, 651.0, 624.0]","[[271.0, 437.0], [365.0, 462.0], [288.0, 469.0]]","[[20.0, 31.0], [21.0, 31.0], [13.0, 48.0]]"
