,exp,video,segment,frame,n_masks,mask_area,mask_centroid,mask_conf,mask_strength,bbox_id,bbox_area,bbox_centroid,bbox_dim
0,22_08_2024,2024-08-22_10_40_00_000,23.0,261.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,23.0,262.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,23.0,263.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,23.0,264.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,23.0,265.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,23.0,266.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,23.0,267.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,23.0,268.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,23.0,269.0,1,[473],"[[330.0, 346.0]]",[0.6499234],[199.54],[0],[572.0],"[[331.0, 347.0]]","[[22.0, 26.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,23.0,270.0,1,[473],"[[330.0, 346.0]]",[0.6499234],[199.54],[0],[572.0],"[[331.0, 347.0]]","[[22.0, 26.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,23.0,271.0,1,[473],"[[330.0, 346.0]]",[0.6499234],[199.54],[0],[572.0],"[[331.0, 347.0]]","[[22.0, 26.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,23.0,272.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,23.0,273.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,23.0,274.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,23.0,275.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,23.0,276.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,23.0,277.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,23.0,278.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,23.0,279.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,23.0,280.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,23.0,301.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,23.0,302.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,23.0,303.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,23.0,304.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,23.0,305.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,23.0,306.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,23.0,307.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,23.0,308.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,23.0,309.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,23.0,310.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,23.0,311.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,23.0,312.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,23.0,313.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,23.0,314.0,1,[667],"[[314.0, 365.0]]",[0.77659625],[194.39],[0],[851.0],"[[314.0, 366.0]]","[[23.0, 37.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,23.0,315.0,1,[1385],"[[312.0, 351.0]]",[0.5531034],[175.28],[0],[1722.0],"[[314.0, 351.0]]","[[42.0, 41.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,23.0,316.0,1,[1385],"[[312.0, 351.0]]",[0.5531037],[175.28],[0],[1722.0],"[[314.0, 351.0]]","[[42.0, 41.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,23.0,317.0,1,[1072],"[[304.0, 351.0]]",[0.7702983],[191.16],[0],[1380.0],"[[305.0, 352.0]]","[[30.0, 46.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,23.0,318.0,1,[1072],"[[304.0, 351.0]]",[0.7702983],[191.16],[0],[1380.0],"[[305.0, 352.0]]","[[30.0, 46.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,23.0,319.0,1,[1072],"[[304.0, 351.0]]",[0.7702983],[191.16],[0],[1380.0],"[[305.0, 352.0]]","[[30.0, 46.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,23.0,320.0,1,[813],"[[304.0, 349.0]]",[0.67763865],[188.2],[0],[1036.0],"[[305.0, 349.0]]","[[28.0, 37.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,23.0,321.0,1,[675],"[[309.0, 351.0]]",[0.7249251],[185.66],[0],[936.0],"[[309.0, 352.0]]","[[26.0, 36.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,23.0,322.0,1,[675],"[[309.0, 351.0]]",[0.7249251],[185.66],[0],[936.0],"[[309.0, 352.0]]","[[26.0, 36.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,23.0,323.0,1,[1283],"[[329.0, 343.0]]",[0.8056896],[192.09],[0],[1924.0],"[[331.0, 346.0]]","[[37.0, 52.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,23.0,324.0,1,[1283],"[[329.0, 343.0]]",[0.8056896],[192.09],[0],[1924.0],"[[331.0, 346.0]]","[[37.0, 52.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,23.0,325.0,1,[1283],"[[329.0, 343.0]]",[0.8056896],[192.09],[0],[1924.0],"[[331.0, 346.0]]","[[37.0, 52.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,23.0,326.0,1,[814],"[[317.0, 349.0]]",[0.721402],[194.71],[0],[975.0],"[[318.0, 349.0]]","[[25.0, 39.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,23.0,327.0,2,"[1046, 119]","[[320.0, 345.0], [335.0, 474.0]]","[0.7831702, 0.304012]","[201.82, 193.56]","[0, 0]","[1260.0, 143.0]","[[321.0, 347.0], [336.0, 475.0]]","[[30.0, 42.0], [11.0, 13.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,23.0,328.0,2,"[1046, 119]","[[320.0, 345.0], [335.0, 474.0]]","[0.7831753, 0.30401212]","[201.82, 193.56]","[0, 0]","[1260.0, 143.0]","[[321.0, 347.0], [336.0, 475.0]]","[[30.0, 42.0], [11.0, 13.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,23.0,329.0,3,"[1358, 330, 46]","[[318.0, 337.0], [342.0, 477.0], [258.0, 537.0]]","[0.67490655, 0.59368783, 0.32877567]","[177.23, 182.16, 151.09]","[0, 0, 0]","[1508.0, 396.0, 56.0]","[[319.0, 338.0], [342.0, 477.0], [258.0, 537.0]]","[[26.0, 58.0], [22.0, 18.0], [7.0, 8.0]]"
