,exp,video,segment,frame,n_masks,mask_area,mask_centroid,mask_conf,mask_strength,bbox_id,bbox_area,bbox_centroid,bbox_dim
0,09_07_2024,2024-07-09_11_30_00_000,3.0,1.0,2.0,"[466, 296]","[[162.0, 320.0], [165.0, 320.0]]","[0.5371395, 0.40221018]","[188.46, 194.74]","[0, 0]","[464.0, 308.0]","[[163.0, 320.0], [165.0, 321.0]]","[[16.0, 29.0], [11.0, 28.0]]"
0,09_07_2024,2024-07-09_11_30_00_000,3.0,2.0,1.0,[412],"[[163.0, 322.0]]",[0.73060805],[217.77],[0],[448.0],"[[163.0, 322.0]]","[[16.0, 28.0]]"
0,09_07_2024,2024-07-09_11_30_00_000,3.0,3.0,2.0,"[412, 577]","[[163.0, 322.0], [161.0, 321.0]]","[0.71989745, 0.35727802]","[217.61, 210.19]","[0, 0]","[448.0, 640.0]","[[163.0, 322.0], [161.0, 322.0]]","[[16.0, 28.0], [20.0, 32.0]]"
0,09_07_2024,2024-07-09_11_30_00_000,3.0,4.0,1.0,[384],"[[163.0, 322.0]]",[0.70849663],[218.56],[0],[420.0],"[[164.0, 322.0]]","[[15.0, 28.0]]"
0,09_07_2024,2024-07-09_11_30_00_000,3.0,5.0,1.0,[383],"[[163.0, 322.0]]",[0.7094905],[218.63],[0],[392.0],"[[164.0, 322.0]]","[[14.0, 28.0]]"
0,09_07_2024,2024-07-09_11_30_00_000,3.0,6.0,2.0,"[246, 408]","[[166.0, 322.0], [163.0, 320.0]]","[0.5686586, 0.3672438]","[194.93, 186.73]","[0, 0]","[275.0, 435.0]","[[166.0, 322.0], [163.0, 321.0]]","[[11.0, 25.0], [15.0, 29.0]]"
0,09_07_2024,2024-07-09_11_30_00_000,3.0,7.0,2.0,"[246, 408]","[[166.0, 322.0], [163.0, 320.0]]","[0.56578463, 0.35770303]","[194.93, 186.73]","[0, 0]","[275.0, 435.0]","[[166.0, 322.0], [163.0, 321.0]]","[[11.0, 25.0], [15.0, 29.0]]"
0,09_07_2024,2024-07-09_11_30_00_000,3.0,8.0,3.0,"[474, 345, 646]","[[163.0, 322.0], [164.0, 323.0], [160.0, 322.0]]","[0.60033697, 0.46927342, 0.41283447]","[203.18, 208.83, 197.65]","[0, 0, 0]","[480.0, 364.0, 693.0]","[[163.0, 322.0], [165.0, 324.0], [160.0, 322.0]]","[[16.0, 30.0], [14.0, 26.0], [21.0, 33.0]]"
0,09_07_2024,2024-07-09_11_30_00_000,3.0,9.0,3.0,"[473, 317, 644]","[[163.0, 322.0], [165.0, 323.0], [160.0, 322.0]]","[0.5968158, 0.46468443, 0.4101228]","[203.23, 210.03, 197.64]","[0, 0, 0]","[480.0, 364.0, 693.0]","[[163.0, 322.0], [165.0, 324.0], [160.0, 322.0]]","[[16.0, 30.0], [14.0, 26.0], [21.0, 33.0]]"
0,09_07_2024,2024-07-09_11_30_00_000,3.0,10.0,1.0,[460],"[[162.0, 322.0]]",[0.74093133],[218.22],[0],[493.0],"[[163.0, 322.0]]","[[17.0, 29.0]]"
