,exp,video,segment,frame,n_masks,mask_area,mask_centroid,mask_conf,mask_strength,bbox_id,bbox_area,bbox_centroid,bbox_dim
0,22_08_2024,2024-08-22_10_40_00_000,4.0,21.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,4.0,22.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,4.0,23.0,1,[950],"[[323.0, 336.0]]",[0.51713634],[226.88],[0],[1258.0],"[[324.0, 337.0]]","[[34.0, 37.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,4.0,24.0,1,[951],"[[323.0, 336.0]]",[0.5179205],[226.89],[0],[1258.0],"[[324.0, 337.0]]","[[34.0, 37.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,4.0,25.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,4.0,26.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,4.0,27.0,5,"[2514, 901, 1228, 540, 2014]","[[285.0, 290.0], [321.0, 344.0], [320.0, 340.0], [329.0, 212.0], [316.0, 332.0]]","[0.5034971, 0.47595748, 0.40824243, 0.31252843, 0.30877852]","[233.14, 230.16, 230.17, 204.92, 227.37]","[0, 0, 0, 0, 0]","[4420.0, 1480.0, 2160.0, 961.0, 3172.0]","[[284.0, 289.0], [325.0, 348.0], [323.0, 342.0], [331.0, 211.0], [319.0, 335.0]]","[[65.0, 68.0], [40.0, 37.0], [45.0, 48.0], [31.0, 31.0], [52.0, 61.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,4.0,28.0,5,"[2516, 900, 1226, 2014, 540]","[[285.0, 290.0], [321.0, 344.0], [320.0, 340.0], [316.0, 332.0], [329.0, 212.0]]","[0.5044331, 0.47579455, 0.40816656, 0.3081299, 0.30810738]","[233.14, 230.17, 230.16, 227.37, 204.92]","[0, 0, 0, 0, 0]","[4352.0, 1480.0, 2160.0, 3172.0, 961.0]","[[284.0, 289.0], [325.0, 348.0], [323.0, 342.0], [319.0, 335.0], [331.0, 211.0]]","[[64.0, 68.0], [40.0, 37.0], [45.0, 48.0], [52.0, 61.0], [31.0, 31.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,4.0,29.0,3,"[747, 92, 2378]","[[304.0, 234.0], [315.0, 361.0], [279.0, 279.0]]","[0.6872916, 0.4523017, 0.39089608]","[216.74, 171.17, 212.06]","[0, 0, 0]","[990.0, 110.0, 4104.0]","[[305.0, 234.0], [315.0, 362.0], [282.0, 279.0]]","[[33.0, 30.0], [10.0, 11.0], [57.0, 72.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,4.0,30.0,4,"[753, 102, 2371, 1077]","[[304.0, 234.0], [315.0, 361.0], [279.0, 279.0], [308.0, 234.0]]","[0.672092, 0.46497688, 0.3836784, 0.35637188]","[216.93, 172.71, 212.07, 216.76]","[0, 0, 0, 0]","[990.0, 110.0, 4047.0, 1462.0]","[[305.0, 234.0], [315.0, 361.0], [282.0, 279.0], [309.0, 235.0]]","[[33.0, 30.0], [10.0, 11.0], [57.0, 71.0], [43.0, 34.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,4.0,31.0,2,"[1623, 2829]","[[283.0, 279.0], [315.0, 237.0]]","[0.67310596, 0.30995077]","[222.02, 219.41]","[0, 0]","[3234.0, 4221.0]","[[284.0, 282.0], [312.0, 240.0]]","[[49.0, 66.0], [63.0, 67.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,4.0,32.0,1,[15163],"[[315.0, 245.0]]",[0.66950154],[234.93],[0],[20172.0],"[[318.0, 242.0]]","[[123.0, 164.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,4.0,33.0,1,[15064],"[[314.0, 244.0]]",[0.66943187],[234.91],[0],[20212.0],"[[318.0, 242.0]]","[[124.0, 163.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,4.0,34.0,1,[15163],"[[315.0, 245.0]]",[0.6695017],[234.93],[0],[20172.0],"[[318.0, 242.0]]","[[123.0, 164.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,4.0,35.0,2,"[469, 511]","[[321.0, 350.0], [379.0, 294.0]]","[0.639, 0.61402893]","[199.39, 220.41]","[0, 0]","[840.0, 810.0]","[[323.0, 352.0], [380.0, 296.0]]","[[30.0, 28.0], [27.0, 30.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,4.0,36.0,2,"[469, 514]","[[321.0, 350.0], [379.0, 294.0]]","[0.6374294, 0.61948675]","[199.39, 220.33]","[0, 0]","[840.0, 810.0]","[[323.0, 352.0], [380.0, 296.0]]","[[30.0, 28.0], [27.0, 30.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,4.0,37.0,4,"[5336, 1205, 645, 1603]","[[320.0, 231.0], [320.0, 341.0], [319.0, 348.0], [320.0, 337.0]]","[0.81977713, 0.45440063, 0.33978564, 0.33369842]","[236.73, 229.2, 228.88, 229.48]","[0, 0, 0, 0]","[8034.0, 1794.0, 891.0, 3186.0]","[[320.0, 230.0], [325.0, 346.0], [321.0, 351.0], [326.0, 336.0]]","[[78.0, 103.0], [46.0, 39.0], [33.0, 27.0], [54.0, 59.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,4.0,38.0,4,"[5338, 1254, 1692, 650]","[[320.0, 231.0], [321.0, 340.0], [321.0, 336.0], [319.0, 348.0]]","[0.81972057, 0.43247247, 0.34573197, 0.30303296]","[236.68, 229.43, 229.75, 228.85]","[0, 0, 0, 0]","[8034.0, 1880.0, 3480.0, 952.0]","[[320.0, 230.0], [325.0, 345.0], [327.0, 335.0], [321.0, 351.0]]","[[78.0, 103.0], [47.0, 40.0], [58.0, 60.0], [34.0, 28.0]]"
