,exp,video,segment,frame,n_masks,mask_area,mask_centroid,mask_conf,mask_strength,bbox_id,bbox_area,bbox_centroid,bbox_dim
0,22_08_2024,2024-08-22_10_40_00_000,18.0,8.0,1.0,[251],"[[299.0, 515.0]]",[0.35186186],[204.67],[0],[322.0],"[[299.0, 515.0]]","[[14.0, 23.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,18.0,9.0,1.0,[351],"[[300.0, 518.0]]",[0.30705154],[204.47],[0],[434.0],"[[301.0, 520.0]]","[[14.0, 31.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,18.0,10.0,1.0,[351],"[[300.0, 518.0]]",[0.30842075],[204.47],[0],[434.0],"[[301.0, 520.0]]","[[14.0, 31.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,18.0,11.0,1.0,[351],"[[300.0, 518.0]]",[0.306713],[204.47],[0],[434.0],"[[301.0, 520.0]]","[[14.0, 31.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,18.0,12.0,1.0,[173],"[[262.0, 517.0]]",[0.6458094],[220.24],[0],[187.0],"[[262.0, 518.0]]","[[11.0, 17.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,18.0,13.0,1.0,[166],"[[262.0, 517.0]]",[0.641212],[220.96],[0],[187.0],"[[262.0, 517.0]]","[[11.0, 17.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,18.0,14.0,1.0,[427],"[[264.0, 518.0]]",[0.5578963],[230.18],[0],[475.0],"[[264.0, 518.0]]","[[19.0, 25.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,18.0,15.0,1.0,[2785],"[[274.0, 507.0]]",[0.68565583],[217.78],[0],[3420.0],"[[275.0, 510.0]]","[[57.0, 60.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,18.0,16.0,1.0,[2836],"[[274.0, 507.0]]",[0.7011535],[217.7],[0],[3480.0],"[[275.0, 510.0]]","[[58.0, 60.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,18.0,17.0,2.0,"[2814, 2124]","[[274.0, 507.0], [271.0, 508.0]]","[0.6790102, 0.46417764]","[217.75, 220.08]","[0, 0]","[3422.0, 2385.0]","[[275.0, 509.0], [270.0, 510.0]]","[[58.0, 59.0], [45.0, 53.0]]"
