,exp,video,segment,frame,n_masks,mask_area,mask_centroid,mask_conf,mask_strength,bbox_id,bbox_area,bbox_centroid,bbox_dim
0,22_08_2024,2024-08-22_10_40_00_000,19.0,10.0,1.0,[96],"[[302.0, 536.0]]",[0.3277374],[182.71],[0],[104.0],"[[302.0, 537.0]]","[[13.0, 8.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,19.0,11.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,19.0,12.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,19.0,13.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,19.0,14.0,1,[216],"[[308.0, 428.0]]",[0.67642725],[171.45],[0],[266.0],"[[309.0, 429.0]]","[[19.0, 14.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,19.0,15.0,1,[216],"[[308.0, 428.0]]",[0.6711591],[171.45],[0],[266.0],"[[309.0, 429.0]]","[[19.0, 14.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,19.0,16.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,19.0,17.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,19.0,18.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,19.0,19.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,19.0,20.0,1,[723],"[[305.0, 523.0]]",[0.75358796],[213.48],[0],[896.0],"[[305.0, 523.0]]","[[32.0, 28.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,19.0,21.0,1,[723],"[[305.0, 523.0]]",[0.7537492],[213.48],[0],[896.0],"[[305.0, 523.0]]","[[32.0, 28.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,19.0,22.0,1,[645],"[[306.0, 520.0]]",[0.81836635],[216.3],[0],[870.0],"[[307.0, 521.0]]","[[29.0, 30.0]]"
