,exp,video,segment,frame,n_masks,mask_area,mask_centroid,mask_conf,mask_strength,bbox_id,bbox_area,bbox_centroid,bbox_dim
0,22_08_2024,2024-08-22_10_40_00_000,24.0,17.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,24.0,18.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,24.0,19.0,1,[139],"[[284.0, 293.0]]",[0.72217],[190.29],[0],[156.0],"[[285.0, 294.0]]","[[12.0, 13.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,24.0,20.0,1,[139],"[[284.0, 293.0]]",[0.72511685],[190.29],[0],[156.0],"[[285.0, 294.0]]","[[12.0, 13.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,24.0,21.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,24.0,22.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,24.0,23.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,24.0,24.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,24.0,25.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,24.0,26.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,24.0,27.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,24.0,28.0,1,[513],"[[263.0, 256.0]]",[0.57232016],[197.18],[0],[594.0],"[[264.0, 257.0]]","[[22.0, 27.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,24.0,29.0,1,[512],"[[263.0, 256.0]]",[0.5724229],[197.2],[0],[594.0],"[[264.0, 257.0]]","[[22.0, 27.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,24.0,30.0,1,[495],"[[263.0, 257.0]]",[0.5747282],[197.67],[0],[594.0],"[[264.0, 257.0]]","[[22.0, 27.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,24.0,31.0,1,[1922],"[[268.0, 271.0]]",[0.4801313],[209.03],[0],[2544.0],"[[268.0, 272.0]]","[[48.0, 53.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,24.0,32.0,1,[1963],"[[268.0, 270.0]]",[0.48083147],[208.51],[0],[2544.0],"[[268.0, 272.0]]","[[48.0, 53.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,24.0,33.0,1,[425],"[[264.0, 269.0]]",[0.34003958],[198.48],[0],[598.0],"[[265.0, 270.0]]","[[23.0, 26.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,24.0,34.0,1,[114],"[[296.0, 275.0]]",[0.32710576],[192.51],[0],[135.0],"[[297.0, 275.0]]","[[9.0, 15.0]]"
