,exp,video,segment,frame,n_masks,mask_area,mask_centroid,mask_conf,mask_strength,bbox_id,bbox_area,bbox_centroid,bbox_dim
0,22_08_2024,2024-08-22_10_40_00_000,14.0,61.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,62.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,63.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,64.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,65.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,66.0,1,[53],"[[305.0, 558.0]]",[0.59285843],[167.87],[0],[63.0],"[[306.0, 558.0]]","[[9.0, 7.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,67.0,1,[53],"[[305.0, 558.0]]",[0.59285843],[167.87],[0],[63.0],"[[306.0, 558.0]]","[[9.0, 7.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,68.0,1,[53],"[[305.0, 558.0]]",[0.59285843],[167.87],[0],[63.0],"[[306.0, 558.0]]","[[9.0, 7.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,69.0,1,[191],"[[305.0, 555.0]]",[0.6643395],[199.61],[0],[221.0],"[[306.0, 556.0]]","[[13.0, 17.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,70.0,1,[191],"[[305.0, 555.0]]",[0.66434985],[199.61],[0],[221.0],"[[306.0, 556.0]]","[[13.0, 17.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,71.0,1,[125],"[[307.0, 553.0]]",[0.602364],[173.78],[0],[144.0],"[[307.0, 553.0]]","[[12.0, 12.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,72.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,73.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,74.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,75.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,76.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,77.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,78.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,79.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,80.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,81.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,82.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,83.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,84.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,85.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,86.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,87.0,1,[110],"[[267.0, 506.0]]",[0.66697407],[176.2],[0],[108.0],"[[267.0, 506.0]]","[[9.0, 12.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,88.0,1,[110],"[[267.0, 506.0]]",[0.66697407],[176.2],[0],[108.0],"[[267.0, 506.0]]","[[9.0, 12.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,89.0,1,[123],"[[268.0, 506.0]]",[0.6595439],[188.73],[0],[143.0],"[[268.0, 506.0]]","[[11.0, 13.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,90.0,1,[123],"[[268.0, 506.0]]",[0.6595439],[188.73],[0],[143.0],"[[268.0, 506.0]]","[[11.0, 13.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,91.0,1,[501],"[[265.0, 497.0]]",[0.46658996],[195.84],[0],[510.0],"[[265.0, 497.0]]","[[17.0, 30.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,92.0,1,[501],"[[265.0, 497.0]]",[0.4665899],[195.84],[0],[510.0],"[[265.0, 497.0]]","[[17.0, 30.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,93.0,1,[246],"[[268.0, 490.0]]",[0.71285844],[207.96],[0],[266.0],"[[269.0, 491.0]]","[[14.0, 19.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,94.0,1,[246],"[[268.0, 490.0]]",[0.7129518],[207.96],[0],[266.0],"[[269.0, 491.0]]","[[14.0, 19.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,95.0,1,[243],"[[269.0, 493.0]]",[0.62616974],[206.33],[0],[247.0],"[[269.0, 494.0]]","[[13.0, 19.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,96.0,1,[83],"[[268.0, 497.0]]",[0.5329766],[165.51],[0],[88.0],"[[268.0, 497.0]]","[[8.0, 11.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,97.0,1,[83],"[[268.0, 497.0]]",[0.5316881],[165.51],[0],[88.0],"[[268.0, 497.0]]","[[8.0, 11.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,98.0,1,[83],"[[268.0, 497.0]]",[0.53439265],[165.51],[0],[88.0],"[[268.0, 497.0]]","[[8.0, 11.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,99.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,100.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,101.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,102.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,103.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,104.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,105.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,106.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,107.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,108.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,109.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,110.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,111.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,112.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,113.0,1,[189],"[[311.0, 516.0]]",[0.47341785],[165.65],[0],[360.0],"[[312.0, 516.0]]","[[24.0, 15.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,114.0,1,[113],"[[304.0, 559.0]]",[0.55868757],[161.48],[0],[120.0],"[[304.0, 559.0]]","[[10.0, 12.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,115.0,1,[113],"[[304.0, 559.0]]",[0.55868757],[161.48],[0],[120.0],"[[304.0, 559.0]]","[[10.0, 12.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,116.0,1,[113],"[[304.0, 559.0]]",[0.55868757],[161.48],[0],[120.0],"[[304.0, 559.0]]","[[10.0, 12.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,117.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,118.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,119.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,120.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,131.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,132.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,133.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,134.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,135.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,136.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,137.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,138.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,139.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,140.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,141.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,142.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,143.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,144.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,145.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,146.0,1,[328],"[[277.0, 492.0]]",[0.58697754],[201.73],[0],[378.0],"[[278.0, 493.0]]","[[14.0, 27.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,147.0,1,[328],"[[277.0, 492.0]]",[0.58697754],[201.73],[0],[378.0],"[[278.0, 493.0]]","[[14.0, 27.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,148.0,1,[503],"[[271.0, 490.0]]",[0.7526186],[207.47],[0],[575.0],"[[272.0, 490.0]]","[[25.0, 23.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,149.0,1,[503],"[[271.0, 490.0]]",[0.7527014],[207.47],[0],[575.0],"[[272.0, 490.0]]","[[25.0, 23.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,150.0,1,[470],"[[270.0, 490.0]]",[0.71595484],[214.35],[0],[525.0],"[[270.0, 491.0]]","[[21.0, 25.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,151.0,1,[470],"[[270.0, 490.0]]",[0.7238907],[213.8],[0],[525.0],"[[270.0, 491.0]]","[[21.0, 25.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,152.0,1,[357],"[[269.0, 491.0]]",[0.5674221],[215.68],[0],[414.0],"[[269.0, 492.0]]","[[18.0, 23.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,153.0,1,[357],"[[269.0, 491.0]]",[0.5689581],[215.68],[0],[414.0],"[[269.0, 492.0]]","[[18.0, 23.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,154.0,1,[405],"[[268.0, 491.0]]",[0.65029186],[215.44],[0],[456.0],"[[269.0, 492.0]]","[[19.0, 24.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,155.0,1,[405],"[[268.0, 491.0]]",[0.66057134],[215.8],[0],[456.0],"[[269.0, 492.0]]","[[19.0, 24.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,156.0,1,[42],"[[270.0, 493.0]]",[0.5204511],[177.4],[0],[56.0],"[[270.0, 493.0]]","[[7.0, 8.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,157.0,1,[42],"[[270.0, 493.0]]",[0.53933835],[177.17],[0],[56.0],"[[270.0, 493.0]]","[[7.0, 8.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,14.0,158.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,159.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,160.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,161.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,162.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,163.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,164.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,165.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,166.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,167.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,168.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,169.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,14.0,170.0,[],[],[],[],[],[],[],[],[]
