,exp,video,segment,frame,n_masks,mask_area,mask_centroid,mask_conf,mask_strength,bbox_id,bbox_area,bbox_centroid,bbox_dim
0,22_08_2024,2024-08-22_10_40_00_000,3.0,9.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,3.0,10.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,3.0,11.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,3.0,12.0,3,"[1849, 2875, 2156]","[[314.0, 231.0], [318.0, 238.0], [316.0, 227.0]]","[0.40722877, 0.40531638, 0.3991495]","[218.91, 222.99, 213.29]","[0, 0, 0]","[2480.0, 4554.0, 3654.0]","[[312.0, 231.0], [312.0, 239.0], [312.0, 222.0]]","[[62.0, 40.0], [66.0, 69.0], [63.0, 58.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,3.0,13.0,3,"[3007, 1795, 2140]","[[318.0, 240.0], [314.0, 231.0], [315.0, 227.0]]","[0.41557333, 0.40193772, 0.37353525]","[224.44, 219.12, 213.16]","[0, 0, 0]","[4818.0, 2356.0, 3591.0]","[[313.0, 244.0], [312.0, 232.0], [312.0, 222.0]]","[[66.0, 73.0], [62.0, 38.0], [63.0, 57.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,3.0,14.0,1,[2215],"[[314.0, 223.0]]",[0.61810684],[218.16],[0],[3630.0],"[[312.0, 222.0]]","[[66.0, 55.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,3.0,15.0,1,[2215],"[[314.0, 223.0]]",[0.6180521],[218.16],[0],[3630.0],"[[312.0, 222.0]]","[[66.0, 55.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,3.0,16.0,2,"[4139, 1270]","[[318.0, 232.0], [280.0, 273.0]]","[0.74098516, 0.33682492]","[236.18, 219.59]","[0, 0]","[7008.0, 2014.0]","[[318.0, 232.0], [282.0, 270.0]]","[[73.0, 96.0], [38.0, 53.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,3.0,17.0,2,"[4110, 1235]","[[317.0, 232.0], [279.0, 272.0]]","[0.73336565, 0.35366303]","[236.08, 219.07]","[0, 0]","[7081.0, 1961.0]","[[318.0, 232.0], [282.0, 270.0]]","[[73.0, 97.0], [37.0, 53.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,3.0,18.0,1,[1755],"[[314.0, 235.0]]",[0.7516736],[214.34],[0],[2728.0],"[[311.0, 239.0]]","[[62.0, 44.0]]"
