,exp,video,segment,frame,n_masks,mask_area,mask_centroid,mask_conf,mask_strength,bbox_id,bbox_area,bbox_centroid,bbox_dim
0,14_08_2024,2024-08-14_15_34_48_759,2.0,5.0,[],[],[],[],[],[],[],[],[]
0,14_08_2024,2024-08-14_15_34_48_759,2.0,6.0,[],[],[],[],[],[],[],[],[]
0,14_08_2024,2024-08-14_15_34_48_759,2.0,7.0,1,[253],"[[320.0, 541.0]]",[0.6308105],[195.99],[0],[306.0],"[[321.0, 542.0]]","[[18.0, 17.0]]"
0,14_08_2024,2024-08-14_15_34_48_759,2.0,8.0,1,[251],"[[319.0, 541.0]]",[0.6432448],[195.77],[0],[306.0],"[[321.0, 542.0]]","[[18.0, 17.0]]"
0,14_08_2024,2024-08-14_15_34_48_759,2.0,9.0,1,[816],"[[326.0, 530.0]]",[0.64099586],[216.82],[0],[1394.0],"[[328.0, 534.0]]","[[34.0, 41.0]]"
0,14_08_2024,2024-08-14_15_34_48_759,2.0,10.0,2,"[1781, 2462]","[[321.0, 527.0], [317.0, 529.0]]","[0.49605268, 0.33906543]","[210.54, 205.98]","[0, 0]","[2958.0, 4526.0]","[[324.0, 529.0], [320.0, 530.0]]","[[51.0, 58.0], [62.0, 73.0]]"
0,14_08_2024,2024-08-14_15_34_48_759,2.0,11.0,2,"[1782, 2467]","[[321.0, 527.0], [317.0, 529.0]]","[0.4923889, 0.33701342]","[210.54, 205.97]","[0, 0]","[2900.0, 4588.0]","[[324.0, 529.0], [320.0, 530.0]]","[[50.0, 58.0], [62.0, 74.0]]"
0,14_08_2024,2024-08-14_15_34_48_759,2.0,12.0,2,"[1763, 2463]","[[321.0, 528.0], [317.0, 529.0]]","[0.49076253, 0.33208075]","[210.5, 205.96]","[0, 0]","[2900.0, 4588.0]","[[324.0, 529.0], [320.0, 530.0]]","[[50.0, 58.0], [62.0, 74.0]]"
0,14_08_2024,2024-08-14_15_34_48_759,2.0,13.0,1,[8065],"[[320.0, 502.0]]",[0.75498736],[213.56],[0],[13872.0],"[[326.0, 508.0]]","[[102.0, 136.0]]"
0,14_08_2024,2024-08-14_15_34_48_759,2.0,14.0,1,[8070],"[[320.0, 501.0]]",[0.7536095],[213.56],[0],[13872.0],"[[326.0, 507.0]]","[[102.0, 136.0]]"
0,14_08_2024,2024-08-14_15_34_48_759,2.0,15.0,1,[11151],"[[323.0, 494.0]]",[0.7434057],[215.64],[0],[18445.0],"[[329.0, 503.0]]","[[119.0, 155.0]]"
0,14_08_2024,2024-08-14_15_34_48_759,2.0,16.0,1,[13055],"[[325.0, 486.0]]",[0.7401273],[215.15],[0],[20049.0],"[[331.0, 499.0]]","[[123.0, 163.0]]"
0,14_08_2024,2024-08-14_15_34_48_759,2.0,17.0,1,[13049],"[[325.0, 486.0]]",[0.73883367],[215.19],[0],[19926.0],"[[331.0, 499.0]]","[[123.0, 162.0]]"
0,14_08_2024,2024-08-14_15_34_48_759,2.0,18.0,1,[15701],"[[328.0, 480.0]]",[0.7324247],[215.44],[0],[24739.0],"[[336.0, 493.0]]","[[143.0, 173.0]]"
0,14_08_2024,2024-08-14_15_34_48_759,2.0,19.0,1,[15698],"[[328.0, 480.0]]",[0.7341116],[215.5],[0],[24739.0],"[[336.0, 493.0]]","[[143.0, 173.0]]"
0,14_08_2024,2024-08-14_15_34_48_759,2.0,20.0,1,[15730],"[[328.0, 479.0]]",[0.7330101],[215.46],[0],[24882.0],"[[336.0, 493.0]]","[[143.0, 174.0]]"
0,14_08_2024,2024-08-14_15_34_48_759,2.0,21.0,1,[20604],"[[331.0, 469.0]]",[0.77053314],[212.03],[0],[38700.0],"[[339.0, 477.0]]","[[180.0, 215.0]]"
0,14_08_2024,2024-08-14_15_34_48_759,2.0,22.0,1,[16474],"[[332.0, 477.0]]",[0.7132221],[213.83],[0],[28236.0],"[[342.0, 490.0]]","[[156.0, 181.0]]"
0,14_08_2024,2024-08-14_15_34_48_759,2.0,23.0,1,[16485],"[[332.0, 477.0]]",[0.71407706],[213.82],[0],[28236.0],"[[342.0, 490.0]]","[[156.0, 181.0]]"
0,14_08_2024,2024-08-14_15_34_48_759,2.0,24.0,1,[16144],"[[331.0, 478.0]]",[0.715659],[211.08],[0],[27540.0],"[[341.0, 491.0]]","[[153.0, 180.0]]"
0,14_08_2024,2024-08-14_15_34_48_759,2.0,25.0,1,[16187],"[[331.0, 478.0]]",[0.71499544],[211.01],[0],[27720.0],"[[341.0, 490.0]]","[[154.0, 180.0]]"
0,14_08_2024,2024-08-14_15_34_48_759,2.0,26.0,1,[16156],"[[331.0, 478.0]]",[0.7153327],[211.06],[0],[27540.0],"[[341.0, 490.0]]","[[153.0, 180.0]]"
0,14_08_2024,2024-08-14_15_34_48_759,2.0,27.0,1,[21073],"[[333.0, 465.0]]",[0.716025],[211.86],[0],[37278.0],"[[340.0, 473.0]]","[[171.0, 218.0]]"
0,14_08_2024,2024-08-14_15_34_48_759,2.0,28.0,1,[12531],"[[328.0, 485.0]]",[0.7684158],[208.48],[0],[20708.0],"[[335.0, 496.0]]","[[124.0, 167.0]]"
0,14_08_2024,2024-08-14_15_34_48_759,2.0,29.0,1,[12517],"[[328.0, 485.0]]",[0.76754475],[208.56],[0],[20708.0],"[[335.0, 496.0]]","[[124.0, 167.0]]"
0,14_08_2024,2024-08-14_15_34_48_759,2.0,30.0,1,[18567],"[[331.0, 468.0]]",[0.73173815],[208.86],[0],[32314.0],"[[337.0, 475.0]]","[[151.0, 214.0]]"
0,14_08_2024,2024-08-14_15_34_48_759,2.0,31.0,1,[18601],"[[331.0, 468.0]]",[0.73294395],[208.82],[0],[32314.0],"[[337.0, 475.0]]","[[151.0, 214.0]]"
0,14_08_2024,2024-08-14_15_34_48_759,2.0,32.0,1,[18562],"[[331.0, 468.0]]",[0.7316239],[208.86],[0],[32314.0],"[[337.0, 475.0]]","[[151.0, 214.0]]"
0,14_08_2024,2024-08-14_15_34_48_759,2.0,33.0,1,[29240],"[[339.0, 440.0]]",[0.66327196],[202.94],[0],[49588.0],"[[332.0, 448.0]]","[[196.0, 253.0]]"
0,14_08_2024,2024-08-14_15_34_48_759,2.0,34.0,1,[10875],"[[334.0, 485.0]]",[0.7305371],[203.95],[0],[18600.0],"[[341.0, 500.0]]","[[120.0, 155.0]]"
0,14_08_2024,2024-08-14_15_34_48_759,2.0,35.0,1,[10961],"[[334.0, 484.0]]",[0.7291022],[203.89],[0],[18600.0],"[[340.0, 500.0]]","[[120.0, 155.0]]"
