,exp,video,segment,frame,n_masks,mask_area,mask_centroid,mask_conf,mask_strength,bbox_id,bbox_area,bbox_centroid,bbox_dim
0,04_07_2024,2024-07-04_11_51_08_772,3.0,64.0,[],[],[],[],[],[],[],[],[]
0,04_07_2024,2024-07-04_11_51_08_772,3.0,65.0,[],[],[],[],[],[],[],[],[]
0,04_07_2024,2024-07-04_11_51_08_772,3.0,66.0,2,"[58, 135]","[[276.0, 154.0], [177.0, 196.0]]","[0.43315047, 0.31646964]","[199.14, 228.02]","[0, 0]","[70.0, 143.0]","[[277.0, 155.0], [177.0, 196.0]]","[[7.0, 10.0], [11.0, 13.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,3.0,67.0,2,"[58, 135]","[[276.0, 154.0], [177.0, 196.0]]","[0.4342638, 0.31739944]","[199.14, 228.02]","[0, 0]","[70.0, 143.0]","[[277.0, 155.0], [177.0, 196.0]]","[[7.0, 10.0], [11.0, 13.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,3.0,68.0,2,"[58, 135]","[[276.0, 154.0], [177.0, 196.0]]","[0.43898204, 0.3175823]","[199.14, 228.02]","[0, 0]","[70.0, 143.0]","[[277.0, 155.0], [177.0, 196.0]]","[[7.0, 10.0], [11.0, 13.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,3.0,69.0,1,[2120],"[[181.0, 197.0]]",[0.7708636],[224.9],[0],[3021.0],"[[181.0, 198.0]]","[[53.0, 57.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,3.0,70.0,1,[1466],"[[179.0, 195.0]]",[0.87480134],[223.83],[0],[1849.0],"[[181.0, 195.0]]","[[43.0, 43.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,3.0,71.0,1,[1466],"[[179.0, 195.0]]",[0.8748844],[223.83],[0],[1849.0],"[[181.0, 195.0]]","[[43.0, 43.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,3.0,72.0,1,[769],"[[176.0, 190.0]]",[0.8288507],[217.38],[0],[924.0],"[[177.0, 191.0]]","[[28.0, 33.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,3.0,73.0,1,[769],"[[176.0, 190.0]]",[0.82750326],[217.41],[0],[924.0],"[[177.0, 191.0]]","[[28.0, 33.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,3.0,74.0,1,[781],"[[177.0, 191.0]]",[0.82755965],[217.11],[0],[924.0],"[[177.0, 191.0]]","[[28.0, 33.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,3.0,75.0,1,[344],"[[170.0, 191.0]]",[0.71345997],[200.67],[0],[440.0],"[[170.0, 192.0]]","[[20.0, 22.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,3.0,76.0,1,[276],"[[173.0, 188.0]]",[0.7637432],[206.38],[0],[312.0],"[[173.0, 188.0]]","[[13.0, 24.0]]"
0,04_07_2024,2024-07-04_11_51_08_772,3.0,77.0,1,[276],"[[173.0, 188.0]]",[0.77110267],[206.02],[0],[312.0],"[[173.0, 188.0]]","[[13.0, 24.0]]"
