,exp,video,segment,frame,n_masks,mask_area,mask_centroid,mask_conf,mask_strength,bbox_id,bbox_area,bbox_centroid,bbox_dim
0,22_08_2024,2024-08-22_13_40_00_000,8.0,127.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_13_40_00_000,8.0,128.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_13_40_00_000,8.0,129.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_13_40_00_000,8.0,130.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_13_40_00_000,8.0,131.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_13_40_00_000,8.0,132.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_13_40_00_000,8.0,133.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_13_40_00_000,8.0,134.0,1,[184],"[[356.0, 360.0]]",[0.34302095],[190.45],[0],[224.0],"[[356.0, 361.0]]","[[14.0, 16.0]]"
0,22_08_2024,2024-08-22_13_40_00_000,8.0,135.0,1,[184],"[[356.0, 360.0]]",[0.3429941],[190.45],[0],[224.0],"[[356.0, 361.0]]","[[14.0, 16.0]]"
0,22_08_2024,2024-08-22_13_40_00_000,8.0,136.0,1,[273],"[[354.0, 370.0]]",[0.6065898],[200.38],[0],[408.0],"[[355.0, 371.0]]","[[17.0, 24.0]]"
0,22_08_2024,2024-08-22_13_40_00_000,8.0,137.0,1,[273],"[[354.0, 370.0]]",[0.60708785],[200.38],[0],[408.0],"[[355.0, 371.0]]","[[17.0, 24.0]]"
0,22_08_2024,2024-08-22_13_40_00_000,8.0,138.0,1,[432],"[[357.0, 370.0]]",[0.42923278],[193.82],[0],[532.0],"[[358.0, 372.0]]","[[19.0, 28.0]]"
0,22_08_2024,2024-08-22_13_40_00_000,8.0,139.0,1,[516],"[[357.0, 369.0]]",[0.4493085],[192.99],[0],[620.0],"[[357.0, 371.0]]","[[20.0, 31.0]]"
0,22_08_2024,2024-08-22_13_40_00_000,8.0,140.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_13_40_00_000,8.0,141.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_13_40_00_000,8.0,142.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_13_40_00_000,8.0,143.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_13_40_00_000,8.0,144.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_13_40_00_000,8.0,145.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_13_40_00_000,8.0,146.0,[],[],[],[],[],[],[],[],[]
