,frame,n_masks,mask_area,mask_centroid,mask_conf,mask_strength,bbox_id,bbox_area,bbox_centroid,bbox_dim
2,17.0,3.0,463.0,"[300.0, 141.0]",0.6640905,161.78,5.0,630.0,"[299.0, 144.0]","[18.0, 35.0]"
0,18.0,2.0,6471.0,"[173.0, 303.0]",0.739461,152.71,1.0,9204.0,"[178.0, 309.0]","[78.0, 118.0]"
1,18.0,2.0,526.0,"[299.0, 202.0]",0.87448484,171.18,5.0,640.0,"[301.0, 202.0]","[20.0, 32.0]"
0,19.0,3.0,3826.0,"[170.0, 297.0]",0.88836175,151.79,1.0,6790.0,"[177.0, 302.0]","[70.0, 97.0]"
1,19.0,3.0,911.0,"[302.0, 198.0]",0.9133601,171.2,5.0,962.0,"[303.0, 201.0]","[26.0, 37.0]"
2,19.0,3.0,612.0,"[245.0, 266.0]",0.84426427,164.43,2.0,800.0,"[246.0, 268.0]","[20.0, 40.0]"
0,20.0,3.0,3093.0,"[161.0, 315.0]",0.86139685,143.98,1.0,4536.0,"[165.0, 310.0]","[54.0, 84.0]"
1,20.0,3.0,961.0,"[304.0, 197.0]",0.88660765,171.64,5.0,1200.0,"[303.0, 200.0]","[30.0, 40.0]"
2,20.0,3.0,1283.0,"[243.0, 256.0]",0.70848304,164.35,2.0,1421.0,"[243.0, 263.0]","[29.0, 49.0]"
0,21.0,3.0,3226.0,"[162.0, 315.0]",0.87487674,144.25,1.0,4050.0,"[162.0, 313.0]","[50.0, 81.0]"
1,21.0,3.0,794.0,"[302.0, 196.0]",0.6986096,170.3,5.0,1247.0,"[303.0, 197.0]","[29.0, 43.0]"
2,21.0,3.0,477.0,"[245.0, 270.0]",0.8689708,164.35,2.0,1000.0,"[243.0, 268.0]","[25.0, 40.0]"
0,22.0,4.0,4053.0,"[176.0, 298.0]",0.9169578,153.01,1.0,5460.0,"[174.0, 303.0]","[65.0, 84.0]"
1,22.0,4.0,389.0,"[299.0, 204.0]",0.8231831,171.75,5.0,759.0,"[300.0, 202.0]","[23.0, 33.0]"
2,22.0,4.0,993.0,"[242.0, 259.0]",0.88309157,164.15,2.0,1350.0,"[241.0, 264.0]","[30.0, 45.0]"
3,22.0,4.0,479.0,"[299.0, 201.0]",0.5337461,171.09,18.0,682.0,"[300.0, 202.0]","[22.0, 31.0]"
0,23.0,4.0,2603.0,"[164.0, 307.0]",0.81881124,146.64,1.0,4400.0,"[168.0, 305.0]","[55.0, 80.0]"
1,23.0,4.0,370.0,"[303.0, 204.0]",0.1789025,172.84,5.0,700.0,"[304.0, 204.0]","[25.0, 28.0]"
2,23.0,4.0,518.0,"[245.0, 268.0]",0.78147817,164.58,2.0,936.0,"[243.0, 268.0]","[24.0, 39.0]"
3,23.0,4.0,308.0,"[300.0, 202.0]",0.725839,171.23,18.0,464.0,"[300.0, 204.0]","[16.0, 29.0]"
0,24.0,3.0,2984.0,"[169.0, 301.0]",0.7474797,149.11,1.0,4424.0,"[168.0, 303.0]","[56.0, 79.0]"
1,24.0,3.0,485.0,"[303.0, 203.0]",0.58810556,172.13,5.0,858.0,"[305.0, 203.0]","[26.0, 33.0]"
2,24.0,3.0,402.0,"[245.0, 272.0]",0.7697507,164.52,2.0,640.0,"[244.0, 271.0]","[20.0, 32.0]"
0,25.0,2.0,6141.0,"[180.0, 293.0]",0.76184607,156.36,1.0,8343.0,"[179.0, 295.0]","[81.0, 103.0]"
1,25.0,2.0,1709.0,"[248.0, 249.0]",0.8563896,164.78,2.0,2030.0,"[247.0, 258.0]","[35.0, 58.0]"
0,26.0,3.0,2883.0,"[166.0, 305.0]",0.86360115,147.91,1.0,5518.0,"[173.0, 302.0]","[62.0, 89.0]"
1,26.0,3.0,665.0,"[244.0, 266.0]",0.83409774,164.14,2.0,1470.0,"[245.0, 264.0]","[30.0, 49.0]"
2,26.0,3.0,262.0,"[302.0, 206.0]",0.6967791,174.02,18.0,352.0,"[302.0, 208.0]","[16.0, 22.0]"
0,27.0,3.0,2512.0,"[166.0, 303.0]",0.9406492,148.44,1.0,4000.0,"[170.0, 304.0]","[50.0, 80.0]"
1,27.0,3.0,627.0,"[244.0, 266.0]",0.80852604,164.2,2.0,1134.0,"[244.0, 266.0]","[27.0, 42.0]"
2,27.0,3.0,394.0,"[304.0, 205.0]",0.7651505,174.36,5.0,600.0,"[306.0, 206.0]","[25.0, 24.0]"
0,28.0,3.0,4348.0,"[172.0, 295.0]",0.91688734,154.03,1.0,5312.0,"[175.0, 300.0]","[64.0, 83.0]"
1,28.0,3.0,612.0,"[245.0, 266.0]",0.7525251,164.29,2.0,924.0,"[244.0, 268.0]","[22.0, 42.0]"
2,28.0,3.0,417.0,"[302.0, 205.0]",0.14675292,172.33,5.0,609.0,"[304.0, 206.0]","[21.0, 29.0]"
0,29.0,3.0,3582.0,"[172.0, 294.0]",0.67533296,154.12,1.0,5544.0,"[177.0, 298.0]","[66.0, 84.0]"
1,29.0,3.0,666.0,"[245.0, 266.0]",0.82348394,164.61,2.0,920.0,"[245.0, 268.0]","[23.0, 40.0]"
2,29.0,3.0,462.0,"[301.0, 202.0]",0.7443118,171.38,5.0,576.0,"[301.0, 205.0]","[18.0, 32.0]"
0,30.0,2.0,3214.0,"[174.0, 293.0]",0.946782,154.08,1.0,4920.0,"[179.0, 297.0]","[60.0, 82.0]"
1,30.0,2.0,646.0,"[245.0, 267.0]",0.7044704,164.64,2.0,920.0,"[244.0, 269.0]","[23.0, 40.0]"
0,31.0,2.0,5849.0,"[173.0, 285.0]",0.7887372,157.48,1.0,6930.0,"[178.0, 287.0]","[66.0, 105.0]"
1,31.0,2.0,871.0,"[245.0, 260.0]",0.59553695,164.3,2.0,1276.0,"[246.0, 266.0]","[29.0, 44.0]"
0,32.0,2.0,3738.0,"[175.0, 289.0]",0.5310512,155.88,1.0,6566.0,"[179.0, 289.0]","[67.0, 98.0]"
1,32.0,2.0,846.0,"[241.0, 263.0]",0.7951281,163.87,2.0,1504.0,"[243.0, 264.0]","[32.0, 47.0]"
0,33.0,2.0,3793.0,"[174.0, 287.0]",0.6643332,156.55,1.0,6336.0,"[179.0, 287.0]","[66.0, 96.0]"
1,33.0,2.0,389.0,"[246.0, 272.0]",0.7529545,165.26,2.0,851.0,"[245.0, 269.0]","[23.0, 37.0]"
0,34.0,3.0,5343.0,"[172.0, 289.0]",0.5244974,155.28,1.0,6996.0,"[177.0, 290.0]","[66.0, 106.0]"
1,34.0,3.0,1896.0,"[247.0, 248.0]",0.8891318,164.91,2.0,2220.0,"[246.0, 258.0]","[37.0, 60.0]"
2,34.0,3.0,249.0,"[301.0, 208.0]",0.64136887,174.04,5.0,322.0,"[301.0, 210.0]","[14.0, 23.0]"
0,35.0,2.0,6399.0,"[170.0, 295.0]",0.89012355,154.0,1.0,8588.0,"[173.0, 290.0]","[76.0, 113.0]"
1,35.0,2.0,597.0,"[303.0, 204.0]",0.82180786,172.6,5.0,806.0,"[304.0, 205.0]","[26.0, 31.0]"
0,36.0,3.0,4031.0,"[167.0, 304.0]",0.61799794,149.47,1.0,6935.0,"[172.0, 300.0]","[73.0, 95.0]"
1,36.0,3.0,604.0,"[302.0, 203.0]",0.7479257,172.47,5.0,960.0,"[304.0, 204.0]","[30.0, 32.0]"
2,36.0,3.0,1554.0,"[248.0, 251.0]",0.9229921,164.8,2.0,2706.0,"[247.0, 255.0]","[41.0, 66.0]"
0,37.0,3.0,2740.0,"[167.0, 302.0]",0.8895335,149.22,1.0,4590.0,"[170.0, 303.0]","[54.0, 85.0]"
1,37.0,3.0,928.0,"[304.0, 198.0]",0.8871103,171.76,5.0,1254.0,"[305.0, 200.0]","[33.0, 38.0]"
2,37.0,3.0,1478.0,"[246.0, 251.0]",0.8656242,164.56,2.0,2470.0,"[246.0, 254.0]","[38.0, 65.0]"
0,38.0,3.0,5611.0,"[169.0, 296.0]",0.8860543,153.72,1.0,7384.0,"[172.0, 295.0]","[71.0, 104.0]"
1,38.0,3.0,739.0,"[303.0, 200.0]",0.8461072,172.16,5.0,1221.0,"[305.0, 201.0]","[33.0, 37.0]"
2,38.0,3.0,841.0,"[246.0, 262.0]",0.9214237,164.26,2.0,1683.0,"[247.0, 261.0]","[33.0, 51.0]"
0,39.0,3.0,5330.0,"[168.0, 294.0]",0.6320719,153.33,1.0,7950.0,"[173.0, 295.0]","[75.0, 106.0]"
1,39.0,3.0,779.0,"[303.0, 200.0]",0.85580593,172.0,5.0,1216.0,"[305.0, 202.0]","[32.0, 38.0]"
2,39.0,3.0,1587.0,"[246.0, 251.0]",0.96857965,164.44,2.0,2109.0,"[246.0, 257.0]","[37.0, 57.0]"
0,40.0,3.0,2940.0,"[161.0, 309.0]",0.936723,145.44,1.0,5160.0,"[166.0, 304.0]","[60.0, 86.0]"
1,40.0,3.0,694.0,"[303.0, 201.0]",0.84248763,172.17,5.0,1116.0,"[305.0, 202.0]","[31.0, 36.0]"
2,40.0,3.0,1444.0,"[247.0, 251.0]",0.9662293,164.69,2.0,2294.0,"[247.0, 255.0]","[37.0, 62.0]"
0,41.0,3.0,4962.0,"[162.0, 297.0]",0.8109494,151.29,1.0,5974.0,"[165.0, 297.0]","[58.0, 103.0]"
1,41.0,3.0,734.0,"[303.0, 200.0]",0.86334413,171.83,5.0,1147.0,"[305.0, 202.0]","[31.0, 37.0]"
2,41.0,3.0,529.0,"[245.0, 266.0]",0.79559356,164.58,2.0,1128.0,"[246.0, 263.0]","[24.0, 47.0]"
0,42.0,3.0,6908.0,"[167.0, 297.0]",0.7615004,155.02,1.0,7524.0,"[167.0, 292.0]","[66.0, 114.0]"
