Frame,Centroids,Area
463,"[[167, 313]]",[558.5]
464,"[[165, 316]]",[449.5]
465,"[[167, 297]]",[221.5]
466,"[[164, 311]]",[953.5]
467,"[[165, 312]]",[808.0]
468,"[[162, 317]]",[763.5]
469,"[[163, 312]]",[970.0]
470,"[[168, 307]]",[756.5]
471,"[[174, 295]]",[198.0]
472,"[[167, 312]]",[566.5]
473,"[[167, 312]]",[585.5]
474,"[[167, 313]]",[544.0]
475,"[[167, 313]]",[534.5]
476,"[[181, 333], [167, 310]]","[1.0, 664.5]"
477,"[[180, 333], [167, 311]]","[11.0, 660.5]"
478,"[[181, 333], [166, 313]]","[1.0, 746.0]"
479,"[[167, 310]]",[633.0]
480,"[[165, 311]]",[782.0]
481,"[[184, 337], [144, 315]]","[25.0, 2838.5]"
482,"[[167, 313]]",[550.0]
483,"[[157, 317]]",[1647.0]
484,"[[159, 316]]",[1549.0]
485,"[[161, 314]]",[1375.0]
486,"[[135, 283], [156, 316]]","[23.5, 1849.0]"
487,"[[161, 313]]",[1146.0]
488,"[[165, 321]]",[475.5]
489,"[[147, 319]]",[2091.0]
490,"[[173, 296]]",[215.5]
491,"[[166, 310]]",[905.5]
492,"[[188, 292]]",[1947.0]
493,"[[148, 315]]",[2220.5]
494,"[[167, 308]]",[697.5]
495,"[[163, 313]]",[979.5]
496,"[[153, 317], [125, 290]]","[1695.0, 14.0]"
497,"[[165, 311]]",[808.0]
498,"[[165, 311]]",[792.5]
499,"[[163, 313]]",[972.5]
500,"[[159, 315]]",[1426.0]
501,"[[163, 313]]",[971.5]
502,"[[160, 315]]",[1204.0]
503,"[[155, 316]]",[1698.0]
504,"[[181, 332], [169, 308]]","[18.5, 489.5]"
505,"[[141, 315], [106, 273], [175, 265]]","[3203.5, 27.0, 203.0]"
506,"[[167, 310]]",[646.5]
507,"[[167, 310]]",[659.0]
508,"[[142, 329], [147, 316]]","[51.0, 2352.0]"
509,"[[143, 334], [146, 316]]","[62.0, 2743.5]"
510,"[[144, 319], [162, 317]]","[87.5, 952.5]"
511,"[[151, 314]]",[1904.0]
512,"[[153, 313]]",[1838.0]
513,"[[151, 320], [118, 297]]","[2029.5, 328.0]"
514,"[[152, 322], [120, 304]]","[1876.5, 235.5]"
515,"[[165, 316]]",[469.0]
516,"[[138, 341], [161, 315]]","[5.5, 1099.5]"
517,"[[153, 315]]",[1731.5]
518,"[[167, 311]]",[611.0]
519,"[[167, 310]]",[635.0]
520,"[[161, 315], [119, 311]]","[1227.0, 839.0]"
521,"[[161, 320]]",[961.0]
522,"[[167, 310]]",[663.5]
523,"[[165, 311]]",[855.0]
524,"[[161, 314], [119, 305]]","[1283.5, 921.5]"
525,"[[148, 318]]",[2237.5]
526,"[[161, 314]]",[1340.0]
527,"[[148, 329], [156, 318]]","[126.5, 1483.5]"
528,"[[150, 327], [159, 315]]","[153.0, 1419.5]"
529,"[[167, 310]]",[644.5]
530,"[[165, 311]]",[816.5]
531,"[[162, 315], [121, 307]]","[1041.5, 543.5]"
532,"[[162, 315]]",[1023.0]
533,"[[161, 313]]",[1311.5]
534,"[[157, 318]]",[1389.0]
535,"[[109, 315], [104, 277], [156, 313]]","[442.5, 164.0, 2008.5]"
536,"[[167, 313]]",[542.0]
537,"[[181, 332], [169, 308]]","[10.0, 465.5]"
538,"[[169, 308]]",[468.0]
539,"[[167, 311]]",[596.0]
540,"[[167, 308]]",[727.0]
541,"[[129, 292], [159, 315]]","[9.5, 1341.5]"
542,"[[167, 307]]",[748.0]
543,"[[167, 309]]",[631.0]
544,"[[167, 308]]",[627.5]
545,"[[167, 309], [197, 276]]","[617.0, 613.0]"
546,"[[167, 309]]",[652.0]
547,"[[167, 309], [527, 275]]","[675.0, 2143.0]"
548,"[[188, 293]]",[1643.5]
549,"[[167, 312]]",[559.5]
550,"[[167, 311], [207, 279]]","[531.5, 529.0]"
551,"[[181, 335], [167, 309]]","[4.0, 612.0]"
552,"[[133, 345], [152, 311]]","[9.0, 2421.5]"
553,"[[167, 313]]",[570.0]
554,"[[181, 333], [167, 313]]","[1.0, 564.0]"
555,"[[167, 311], [203, 277]]","[615.0, 771.5]"
556,"[[167, 309]]",[592.0]
557,"[[181, 331], [167, 311]]","[4.5, 604.0]"
558,"[[181, 335], [167, 312]]","[5.0, 536.0]"
559,"[[167, 309], [203, 277]]","[616.5, 616.5]"
560,"[[160, 328], [203, 278]]","[310.5, 608.5]"
561,"[[165, 328]]",[189.5]
562,"[[180, 333], [169, 310], [201, 275]]","[9.0, 377.0, 395.0]"
563,"[[152, 326]]",[1083.0]
564,"[[167, 326]]",[140.0]
565,"[[167, 311], [204, 277]]","[477.5, 649.0]"
566,"[[167, 311]]",[547.0]
567,"[[167, 305]]",[428.0]
568,"[[202, 274]]",[821.5]
569,"[[203, 292]]",[1557.5]
570,"[[206, 277]]",[587.0]
571,"[[203, 280]]",[708.0]
572,"[[205, 278]]",[538.5]
573,"[[543, 277]]",[2299.0]
