,frame,n_masks,mask_area,mask_centroid,mask_conf,mask_strength,bbox_id,bbox_area,bbox_centroid,bbox_dim
0,0.0,2.0,5150.0,"[169.0, 296.0]",0.8243132,152.26,1.0,7875.0,"[173.0, 302.0]","[75.0, 105.0]"
1,0.0,2.0,290.0,"[246.0, 270.0]",0.6173356,164.57,2.0,378.0,"[246.0, 270.0]","[14.0, 27.0]"
0,1.0,2.0,10708.0,"[166.0, 296.0]",0.77285075,153.16,1.0,14157.0,"[171.0, 300.0]","[99.0, 143.0]"
1,1.0,2.0,474.0,"[244.0, 265.0]",0.5299862,163.48,2.0,540.0,"[244.0, 267.0]","[18.0, 30.0]"
0,2.0,2.0,11362.0,"[158.0, 300.0]",0.7751536,151.62,1.0,14935.0,"[165.0, 302.0]","[103.0, 145.0]"
1,2.0,2.0,363.0,"[246.0, 267.0]",0.32959673,165.07,2.0,528.0,"[246.0, 268.0]","[16.0, 33.0]"
0,3.0,2.0,13629.0,"[158.0, 297.0]",0.76408815,152.91,1.0,17094.0,"[164.0, 302.0]","[111.0, 154.0]"
1,3.0,2.0,393.0,"[245.0, 266.0]",0.39630318,164.43,2.0,476.0,"[246.0, 267.0]","[14.0, 34.0]"
0,4.0,2.0,13150.0,"[159.0, 303.0]",0.7594605,151.95,1.0,17667.0,"[163.0, 304.0]","[117.0, 151.0]"
1,4.0,2.0,440.0,"[242.0, 264.0]",0.1682439,162.87,2.0,576.0,"[243.0, 266.0]","[18.0, 32.0]"
0,5.0,2.0,4070.0,"[166.0, 301.0]",0.78502446,150.05,1.0,10005.0,"[167.0, 305.0]","[87.0, 115.0]"
1,5.0,2.0,849.0,"[244.0, 260.0]",0.7932972,163.58,2.0,912.0,"[243.0, 263.0]","[24.0, 38.0]"
0,6.0,1.0,2586.0,"[168.0, 304.0]",0.7118688,148.94,1.0,5307.0,"[170.0, 309.0]","[61.0, 87.0]"
0,7.0,2.0,4213.0,"[168.0, 305.0]",0.83645535,149.38,1.0,6210.0,"[173.0, 310.0]","[69.0, 90.0]"
1,7.0,2.0,314.0,"[245.0, 272.0]",0.67994314,164.77,2.0,620.0,"[245.0, 271.0]","[20.0, 31.0]"
0,8.0,2.0,3508.0,"[170.0, 302.0]",0.8440675,150.2,1.0,5808.0,"[173.0, 308.0]","[66.0, 88.0]"
1,8.0,2.0,377.0,"[244.0, 268.0]",0.40478957,164.28,2.0,558.0,"[244.0, 271.0]","[18.0, 31.0]"
0,9.0,2.0,3469.0,"[169.0, 307.0]",0.8020414,148.14,1.0,5460.0,"[173.0, 311.0]","[65.0, 84.0]"
1,9.0,2.0,499.0,"[247.0, 265.0]",0.6353824,164.93,2.0,576.0,"[247.0, 268.0]","[16.0, 36.0]"
0,10.0,2.0,7229.0,"[168.0, 312.0]",0.76168853,150.25,1.0,9630.0,"[173.0, 313.0]","[90.0, 107.0]"
1,10.0,2.0,499.0,"[246.0, 265.0]",0.643382,164.88,2.0,608.0,"[246.0, 267.0]","[16.0, 38.0]"
0,11.0,2.0,6353.0,"[169.0, 306.0]",0.84706956,150.86,1.0,10170.0,"[173.0, 312.0]","[90.0, 113.0]"
1,11.0,2.0,490.0,"[245.0, 267.0]",0.60978466,164.01,2.0,612.0,"[245.0, 268.0]","[17.0, 36.0]"
0,12.0,2.0,5904.0,"[168.0, 305.0]",0.83947134,150.69,1.0,10005.0,"[173.0, 309.0]","[87.0, 115.0]"
1,12.0,2.0,552.0,"[245.0, 266.0]",0.7303023,164.39,2.0,666.0,"[246.0, 267.0]","[18.0, 37.0]"
0,13.0,2.0,5134.0,"[168.0, 306.0]",0.8517733,149.23,1.0,8424.0,"[172.0, 309.0]","[81.0, 104.0]"
1,13.0,2.0,671.0,"[246.0, 267.0]",0.49383733,164.66,2.0,760.0,"[245.0, 268.0]","[20.0, 38.0]"
0,14.0,2.0,7432.0,"[166.0, 315.0]",0.812202,148.71,1.0,10374.0,"[171.0, 314.0]","[91.0, 114.0]"
1,14.0,2.0,726.0,"[244.0, 266.0]",0.78536856,163.92,2.0,777.0,"[245.0, 267.0]","[21.0, 37.0]"
0,15.0,2.0,10964.0,"[163.0, 319.0]",0.7489596,149.03,1.0,13130.0,"[169.0, 317.0]","[101.0, 130.0]"
1,15.0,2.0,773.0,"[245.0, 262.0]",0.5759994,163.71,2.0,912.0,"[245.0, 264.0]","[24.0, 38.0]"
0,16.0,2.0,11985.0,"[169.0, 304.0]",0.75144756,153.26,1.0,15370.0,"[169.0, 309.0]","[106.0, 145.0]"
1,16.0,2.0,489.0,"[247.0, 268.0]",0.65535843,165.1,2.0,703.0,"[246.0, 267.0]","[19.0, 37.0]"
0,17.0,2.0,5461.0,"[161.0, 257.0]",0.8543259,164.03,1.0,12052.0,"[162.0, 263.0]","[92.0, 131.0]"
1,17.0,2.0,371.0,"[244.0, 217.0]",0.23218797,169.38,2.0,540.0,"[244.0, 218.0]","[15.0, 36.0]"
0,18.0,1.0,5477.0,"[172.0, 302.0]",0.8449004,150.8,1.0,9040.0,"[176.0, 305.0]","[80.0, 113.0]"
0,19.0,2.0,3135.0,"[170.0, 299.0]",0.73389137,150.67,1.0,6298.0,"[173.0, 301.0]","[67.0, 94.0]"
1,19.0,2.0,614.0,"[303.0, 201.0]",0.7680353,172.49,7.0,840.0,"[303.0, 203.0]","[28.0, 30.0]"
0,20.0,2.0,3280.0,"[165.0, 312.0]",0.8864226,145.3,1.0,5368.0,"[168.0, 309.0]","[61.0, 88.0]"
1,20.0,2.0,449.0,"[304.0, 204.0]",0.6409526,173.73,7.0,700.0,"[304.0, 206.0]","[28.0, 25.0]"
0,21.0,2.0,3325.0,"[164.0, 312.0]",0.8994859,145.49,1.0,5133.0,"[166.0, 312.0]","[59.0, 87.0]"
1,21.0,2.0,403.0,"[302.0, 204.0]",0.10185043,173.01,7.0,600.0,"[302.0, 207.0]","[25.0, 24.0]"
0,22.0,2.0,2999.0,"[172.0, 300.0]",0.8183188,150.41,1.0,5192.0,"[171.0, 307.0]","[59.0, 88.0]"
1,22.0,2.0,254.0,"[300.0, 205.0]",0.5916198,172.74,7.0,418.0,"[300.0, 207.0]","[19.0, 22.0]"
0,23.0,2.0,2552.0,"[170.0, 299.0]",0.92658955,150.13,1.0,4760.0,"[169.0, 301.0]","[56.0, 85.0]"
1,23.0,2.0,221.0,"[300.0, 204.0]",0.21762113,172.07,7.0,286.0,"[300.0, 206.0]","[13.0, 22.0]"
0,24.0,1.0,2476.0,"[169.0, 302.0]",0.9038306,148.43,1.0,4400.0,"[169.0, 302.0]","[55.0, 80.0]"
0,25.0,1.0,4636.0,"[177.0, 298.0]",0.79422396,153.06,1.0,7104.0,"[174.0, 302.0]","[74.0, 96.0]"
0,26.0,1.0,2431.0,"[166.0, 307.0]",0.78458995,146.77,1.0,4872.0,"[171.0, 307.0]","[58.0, 84.0]"
0,27.0,2.0,1898.0,"[169.0, 301.0]",0.84207475,149.22,1.0,3404.0,"[171.0, 305.0]","[46.0, 74.0]"
1,27.0,2.0,407.0,"[245.0, 267.0]",0.7344842,163.86,12.0,561.0,"[244.0, 270.0]","[17.0, 33.0]"
0,28.0,2.0,2969.0,"[173.0, 298.0]",0.7912329,151.25,1.0,4640.0,"[176.0, 302.0]","[58.0, 80.0]"
1,28.0,2.0,423.0,"[245.0, 267.0]",0.37652472,164.71,12.0,629.0,"[245.0, 269.0]","[17.0, 37.0]"
0,29.0,2.0,2385.0,"[172.0, 296.0]",0.77639604,152.15,1.0,4785.0,"[173.0, 300.0]","[55.0, 87.0]"
1,29.0,2.0,413.0,"[245.0, 267.0]",0.7221935,164.64,12.0,560.0,"[246.0, 269.0]","[16.0, 35.0]"
0,30.0,2.0,1960.0,"[175.0, 294.0]",0.7409549,152.39,1.0,3950.0,"[176.0, 298.0]","[50.0, 79.0]"
1,30.0,2.0,434.0,"[246.0, 269.0]",0.8057258,164.74,12.0,544.0,"[246.0, 270.0]","[16.0, 34.0]"
0,31.0,2.0,5044.0,"[171.0, 296.0]",0.79320973,153.89,1.0,7020.0,"[175.0, 300.0]","[65.0, 108.0]"
1,31.0,2.0,454.0,"[246.0, 265.0]",0.6118459,164.7,12.0,629.0,"[246.0, 269.0]","[17.0, 37.0]"
0,32.0,2.0,2384.0,"[172.0, 294.0]",0.8261508,152.65,1.0,5300.0,"[173.0, 298.0]","[53.0, 100.0]"
1,32.0,2.0,371.0,"[246.0, 270.0]",0.59690154,164.73,12.0,528.0,"[246.0, 270.0]","[16.0, 33.0]"
0,33.0,2.0,2601.0,"[172.0, 293.0]",0.78939545,153.41,1.0,4512.0,"[173.0, 295.0]","[47.0, 96.0]"
1,33.0,2.0,260.0,"[247.0, 273.0]",0.4491215,165.34,12.0,434.0,"[247.0, 272.0]","[14.0, 31.0]"
0,34.0,1.0,4528.0,"[174.0, 290.0]",0.75496143,155.08,1.0,6726.0,"[174.0, 294.0]","[59.0, 114.0]"
