,frame,n_masks,mask_area,mask_centroid,mask_conf,mask_strength,bbox_id,bbox_area,bbox_centroid,bbox_dim
0,0.0,2.0,5883.0,"[171.0, 294.0]",0.8329015,154.11,1.0,9483.0,"[179.0, 299.0]","[87.0, 109.0]"
1,0.0,2.0,400.0,"[246.0, 270.0]",0.7740037,164.37,2.0,532.0,"[246.0, 271.0]","[19.0, 28.0]"
0,1.0,2.0,10337.0,"[166.0, 295.0]",0.703225,153.63,1.0,13959.0,"[172.0, 296.0]","[99.0, 141.0]"
1,1.0,2.0,691.0,"[243.0, 262.0]",0.7688676,163.53,2.0,986.0,"[242.0, 266.0]","[29.0, 34.0]"
0,2.0,2.0,11006.0,"[157.0, 299.0]",0.7304691,151.77,1.0,13764.0,"[163.0, 301.0]","[93.0, 148.0]"
1,2.0,2.0,594.0,"[245.0, 265.0]",0.728206,164.4,2.0,936.0,"[244.0, 267.0]","[24.0, 39.0]"
0,3.0,2.0,11919.0,"[159.0, 300.0]",0.6667073,151.81,1.0,14896.0,"[161.0, 302.0]","[98.0, 152.0]"
1,3.0,2.0,586.0,"[245.0, 265.0]",0.77790135,164.12,2.0,819.0,"[245.0, 266.0]","[21.0, 39.0]"
0,4.0,2.0,11867.0,"[157.0, 302.0]",0.6469676,151.31,1.0,15606.0,"[156.0, 304.0]","[102.0, 153.0]"
1,4.0,2.0,574.0,"[242.0, 264.0]",0.65429616,162.96,2.0,840.0,"[243.0, 265.0]","[24.0, 35.0]"
0,5.0,2.0,4356.0,"[167.0, 295.0]",0.7750248,152.43,1.0,8880.0,"[167.0, 301.0]","[74.0, 120.0]"
1,5.0,2.0,1248.0,"[242.0, 258.0]",0.7444911,163.44,2.0,1290.0,"[242.0, 261.0]","[30.0, 43.0]"
0,6.0,3.0,3275.0,"[170.0, 302.0]",0.6483359,150.8,1.0,6298.0,"[175.0, 306.0]","[67.0, 94.0]"
1,6.0,3.0,652.0,"[245.0, 265.0]",0.8758402,164.45,2.0,1118.0,"[244.0, 264.0]","[26.0, 43.0]"
2,6.0,3.0,464.0,"[298.0, 199.0]",0.7986094,170.26,5.0,700.0,"[299.0, 199.0]","[20.0, 35.0]"
0,7.0,3.0,4830.0,"[170.0, 303.0]",0.7723301,151.8,1.0,7802.0,"[179.0, 307.0]","[83.0, 94.0]"
1,7.0,3.0,369.0,"[246.0, 272.0]",0.81110495,164.76,2.0,770.0,"[246.0, 270.0]","[22.0, 35.0]"
2,7.0,3.0,451.0,"[298.0, 194.0]",0.7613495,168.61,5.0,578.0,"[298.0, 195.0]","[17.0, 34.0]"
0,8.0,3.0,3958.0,"[168.0, 304.0]",0.7663911,149.66,1.0,7084.0,"[175.0, 307.0]","[77.0, 92.0]"
1,8.0,3.0,463.0,"[245.0, 269.0]",0.8531023,163.97,2.0,748.0,"[245.0, 270.0]","[22.0, 34.0]"
2,8.0,3.0,576.0,"[299.0, 196.0]",0.6649345,169.79,5.0,722.0,"[299.0, 197.0]","[19.0, 38.0]"
0,9.0,2.0,4075.0,"[169.0, 306.0]",0.7811493,148.93,1.0,6390.0,"[174.0, 310.0]","[71.0, 90.0]"
1,9.0,2.0,888.0,"[243.0, 261.0]",0.8318864,164.14,2.0,1209.0,"[242.0, 267.0]","[31.0, 39.0]"
0,10.0,2.0,7713.0,"[168.0, 312.0]",0.7959227,150.18,1.0,9990.0,"[176.0, 314.0]","[90.0, 111.0]"
1,10.0,2.0,724.0,"[245.0, 263.0]",0.8888145,164.22,2.0,1107.0,"[243.0, 266.0]","[27.0, 41.0]"
0,11.0,2.0,6434.0,"[171.0, 304.0]",0.8130245,152.56,1.0,9900.0,"[179.0, 310.0]","[90.0, 110.0]"
1,11.0,2.0,894.0,"[243.0, 263.0]",0.8039454,164.16,2.0,1408.0,"[243.0, 265.0]","[32.0, 44.0]"
0,12.0,3.0,6258.0,"[170.0, 302.0]",0.8173269,152.48,1.0,10101.0,"[179.0, 306.0]","[91.0, 111.0]"
1,12.0,3.0,661.0,"[245.0, 265.0]",0.86987567,164.28,2.0,1092.0,"[244.0, 266.0]","[26.0, 42.0]"
2,12.0,3.0,543.0,"[300.0, 201.0]",0.7499094,170.97,5.0,672.0,"[300.0, 202.0]","[21.0, 32.0]"
0,13.0,3.0,5973.0,"[168.0, 308.0]",0.82185173,150.62,1.0,8938.0,"[174.0, 309.0]","[82.0, 109.0]"
1,13.0,3.0,822.0,"[245.0, 263.0]",0.7647791,164.36,2.0,1100.0,"[245.0, 266.0]","[25.0, 44.0]"
2,13.0,3.0,593.0,"[298.0, 197.0]",0.7336312,169.8,5.0,748.0,"[299.0, 200.0]","[22.0, 34.0]"
0,14.0,3.0,7610.0,"[166.0, 313.0]",0.7981654,149.25,1.0,10856.0,"[173.0, 313.0]","[92.0, 118.0]"
1,14.0,3.0,764.0,"[244.0, 265.0]",0.70161563,164.01,2.0,1008.0,"[245.0, 265.0]","[24.0, 42.0]"
